WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ001740.55-015020.07,DA,0.997394,14.9265,|                   |,9.177058e-05,0.997394,0.00032814732,0.00087936176,0.00013635968,1.202228e-07,0.00025840075,0.00012784619,0.00041073345,0.00037328995
WDJ003907.13-152056.49,DA,0.9964787,15.6824,|                   |,0.00040048585,0.9964787,0.0005241059,0.0007851647,0.00012736795,1.0035821e-07,0.0006605274,0.0003329521,0.0003732003,0.00031732843
WDJ002102.47+102238.96,DA,0.9970001,22.214,|                   |,0.0005159113,0.9970001,0.00029874552,0.001092091,0.000112525326,1.2325765e-07,0.00023197332,0.00025083276,0.00022357493,0.00027405773
WDJ001046.35+123515.62,DA,0.9972119,12.5346,|                   |,0.00030935655,0.9972119,0.0004893231,0.00089837686,9.4062256e-05,8.4739625e-08,0.00023080285,0.00025444716,0.00030236875,0.00020932709
WDJ002806.83+022017.38,DA,0.99600387,18.8661,|                   |,0.00039397698,0.99600387,0.00029757043,0.0020003335,0.00012713182,2.5532634e-07,0.0003155997,0.00027349024,0.00036508104,0.00022277837
WDJ000707.62+011430.25,DA,0.9972022,10.5442,|                   |,0.00035185952,0.9972022,0.0006668466,0.00048724658,0.000104067476,5.0848783e-08,0.00038095386,0.00035259716,0.0002303046,0.0002237402
WDJ005304.01-070721.94,DA,0.9970835,12.4224,|                   |,8.8039335e-05,0.9970835,0.0014703957,0.0004291675,8.816231e-05,3.794707e-08,0.0005048538,7.875262e-05,0.00018002413,7.712334e-05
WDJ002633.89+005425.92,DB,0.996193,7.2714,|                   |,4.3005948e-05,1.589363e-08,0.00038307108,3.5946669e-12,0.996193,0.00022530927,1.0331445e-05,0.00089279126,5.7094327e-05,0.0021955112
WDJ005200.17+050338.08,DA,0.9943709,15.7032,|                   |,0.00020865061,0.9943709,0.00071151054,0.0010831656,0.00044604638,4.858772e-07,0.0014371531,0.00025070857,0.0010728886,0.000418429
WDJ004755.37+224549.25,DA,0.9976674,20.6668,|                   |,0.00010041897,0.9976674,0.0006438802,0.0010013831,8.596018e-05,8.628032e-08,0.0001291868,0.00013421674,0.00019663667,4.086936e-05
WDJ004511.18+212107.85,DA,0.995407,42.5749,|                   |,0.00018666364,0.995407,4.851746e-05,0.00062915555,5.7779116e-06,3.6519785e-09,2.9248322e-05,9.612731e-06,0.00010022934,0.0035838597
